review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20251115-177495,CUST-10397,REST-AUH-002,Outstanding experience! The Gulab Jamun (2 pcs)  Malai Kofta  Fish Curry  Butter Chicken  and Masala Chai exceeded all expectations. Masala Chai was the star of the meal. Will definitely order again!,5,2025-11-21T12:28:21.853450
REV-000004,ORD-20251121-134068,CUST-10490,REST-DXB-002,It was okay. Kulfi  Jeera Rice  Fresh Lime Soda  Masala Chai  and Sweet Lassi arrived lukewarm. Kulfi tasted fine but could be better.,3,2025-11-23T17:08:54.853450
REV-000002,ORD-20251120-519442,CUST-10175,REST-DXB-002,Absolutely amazing Gajar Halwa! The Gajar Halwa was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-24T10:16:47.853450
REV-000003,ORD-20251120-143019,CUST-10259,REST-AUH-001,Very satisfied! Paneer Butter Masala and Paneer Tikka were fresh and flavorful. Paneer Butter Masala was the standout dish.,4,2025-11-24T21:18:02.853450
REV-000005,ORD-20251123-439891,CUST-10450,REST-AUH-002,Exceptional quality! Ordered Chicken Seekh Kebab  Garlic Naan  and Chicken Tikka Masala and everything was delicious. The Garlic Naan melted in my mouth. Perfect!,5,2025-11-29T14:58:59.853450
REV-000007,ORD-20251130-973337,CUST-10004,REST-DXB-001,Below expectations. Butter Naan  Jeera Rice  and Fish Curry were underwhelming. Butter Naan was overcooked and dry.,2,2025-12-03T21:46:40.853450
REV-000009,ORD-20251203-196866,CUST-10294,REST-DXB-002,Wow! Just wow! Butter Chicken were all fantastic. Butter Chicken was particularly memorable. Can't wait to order again!,5,2025-12-05T12:09:46.853450
REV-000006,ORD-20251129-556758,CUST-10244,REST-DXB-002,Incredible meal! Chicken Seekh Kebab  Naan  Lamb Rogan Josh  Chicken 65  and Gajar Halwa arrived hot and fresh. The Chicken 65 was absolutely divine. Highly satisfied!,5,2025-12-06T17:06:58.853450
REV-000008,ORD-20251202-792739,CUST-10224,REST-SHJ-001,Great food overall. Paneer Butter Masala  Palak Paneer  and Masala Chai were tasty  especially the Paneer Butter Masala. Would order again!,4,2025-12-06T18:27:03.853450
REV-000013,ORD-20251207-200855,CUST-10426,REST-AUH-001,Not bad  not great. Chicken Seekh Kebab  Rasmalai (2 pcs)  Gulab Jamun (2 pcs)  Malai Kofta  and Chole Bhature were edible. Rasmalai (2 pcs) needed more seasoning.,3,2025-12-08T13:11:01.853450
REV-000011,ORD-20251206-293184,CUST-10166,REST-AUH-002,Pleasant meal! Jeera Rice arrived warm. Jeera Rice was tasty though not exceptional. Would order again.,4,2025-12-09T11:05:25.853450
REV-000010,ORD-20251204-786657,CUST-10101,REST-DXB-001,Exceptional quality! Ordered Aloo Tikki Chaat  Masala Chai  Fresh Lime Soda  and Paneer Tikka and everything was delicious. The Fresh Lime Soda melted in my mouth. Perfect!,5,2025-12-10T16:43:10.853450
REV-000016,ORD-20251209-313094,CUST-10079,REST-SHJ-001,Exceptional quality! Ordered Tandoori Roti and Paneer Butter Masala and everything was delicious. The Tandoori Roti melted in my mouth. Perfect!,5,2025-12-13T18:21:56.853450
REV-000012,ORD-20251206-891326,CUST-10450,REST-DXB-002,Perfect in every way! Kulfi  Paneer Tikka  Gulab Jamun (2 pcs)  Rasmalai (2 pcs)  and Fish Curry were all excellent. Gulab Jamun (2 pcs) stood out with its rich  authentic taste.,5,2025-12-13T20:02:23.853450
REV-000014,ORD-20251207-265209,CUST-10004,REST-AUH-001,Exceptional quality! Ordered Chicken Biryani  Lamb Rogan Josh  Chicken Tikka Masala  and Chicken 65 and everything was delicious. The Chicken Biryani melted in my mouth. Perfect!,5,2025-12-14T21:42:59.853450
REV-000015,ORD-20251208-954712,CUST-10412,REST-DXB-002,Outstanding experience! The Rasmalai (2 pcs) and Chole Bhature exceeded all expectations. Chole Bhature was the star of the meal. Will definitely order again!,5,2025-12-14T22:42:11.853450
REV-000017,ORD-20251211-964902,CUST-10419,REST-SHJ-001,It was okay. Gulab Jamun (2 pcs)  Fresh Lime Soda  Masala Chai  Dal Makhani  and Tandoori Roti arrived lukewarm. Fresh Lime Soda tasted fine but could be better.,3,2025-12-15T13:08:12.853450
REV-000018,ORD-20251215-767727,CUST-10081,REST-AUH-002,Pleasant meal! Kulfi arrived warm. Kulfi was tasty though not exceptional. Would order again.,4,2025-12-16T21:29:38.853450
REV-000020,ORD-20251221-116109,CUST-10245,REST-AUH-002,Really good Mango Lassi and Chicken Tikka Masala! The Mango Lassi was delicious. Slight delay in delivery but food quality made up for it.,4,2025-12-26T14:25:24.853450
REV-000019,ORD-20251219-196506,CUST-10457,REST-DXB-001,Hands down the best Chicken Biryani I've ever had! Chicken Biryani were all prepared beautifully. Fresh and flavorful!,5,2025-12-26T19:15:02.853450
REV-000021,ORD-20251226-396838,CUST-10318,REST-AUH-002,Decent food but nothing special. Vegetable Biryani  Gulab Jamun (2 pcs)  and Chicken Seekh Kebab were okay. Gulab Jamun (2 pcs) lacked the punch I expected.,3,2025-12-28T22:49:23.853450
REV-000022,ORD-20260103-800469,CUST-10133,REST-AUH-002,Decent food but nothing special. Dal Makhani  Lamb Rogan Josh  and Jeera Rice were okay. Lamb Rogan Josh lacked the punch I expected.,3,2026-01-05T14:28:08.853450
REV-000023,ORD-20260104-685397,CUST-10491,REST-AUH-001,Not good. Fish Curry  Vegetable Biryani  and Tandoori Roti arrived late and cold. Fish Curry had barely any flavor. Poor quality.,2,2026-01-06T17:55:43.853450
REV-000025,ORD-20260106-149840,CUST-10342,REST-AUH-001,Outstanding experience! The Gajar Halwa  Paneer Tikka  Vegetable Biryani  and Mango Lassi exceeded all expectations. Vegetable Biryani was the star of the meal. Will definitely order again!,5,2026-01-08T14:23:17.853450
REV-000026,ORD-20260108-271985,CUST-10025,REST-AUH-002,Disappointed with Vegetable Biryani  Rasmalai (2 pcs)  Aloo Tikki Chaat  Gajar Halwa  and Tandoori Roti. Tandoori Roti was cold when it arrived. Not worth the money.,2,2026-01-10T10:35:55.853450
REV-000024,ORD-20260105-471754,CUST-10201,REST-DXB-001,Incredible meal! Garlic Naan  Tandoori Roti  and Dal Makhani arrived hot and fresh. The Tandoori Roti was absolutely divine. Highly satisfied!,5,2026-01-12T11:56:25.853450
REV-000027,ORD-20260117-493677,CUST-10490,REST-DXB-002,Outstanding experience! The Samosa (2 pcs) and Butter Naan exceeded all expectations. Samosa (2 pcs) was the star of the meal. Will definitely order again!,5,2026-01-18T18:06:34.853450
REV-000028,ORD-20260118-137651,CUST-10489,REST-AUH-001,Exceptional quality! Ordered Chicken Seekh Kebab and everything was delicious. The Chicken Seekh Kebab melted in my mouth. Perfect!,5,2026-01-19T20:56:30.853450
REV-000029,ORD-20260120-784544,CUST-10303,REST-AUH-001,Exceptional quality! Ordered Jeera Rice and Chicken Tikka Masala and everything was delicious. The Jeera Rice melted in my mouth. Perfect!,5,2026-01-23T18:39:35.853450
REV-000032,ORD-20260129-463513,CUST-10388,REST-DXB-002,Absolutely amazing Chicken Biryani and Chicken 65! The Chicken Biryani was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-30T11:24:33.853450
REV-000031,ORD-20260128-504726,CUST-10414,REST-AUH-002,Terrible experience! Kulfi  Palak Paneer  and Butter Naan were all inedible. Kulfi was completely burnt. Waste of money!,1,2026-01-31T17:28:35.853450
REV-000033,ORD-20260129-873832,CUST-10234,REST-AUH-001,Mixed feelings. Chicken 65  Chicken Biryani  Chole Bhature  Jeera Rice  and Dal Makhani were acceptable. Dal Makhani was decent but portion was small for the price.,3,2026-01-31T19:25:08.853450
REV-000030,ORD-20260126-403558,CUST-10334,REST-DXB-001,Appalling quality! Chicken Biryani and Chicken Tikka Masala were swimming in oil. Chicken Tikka Masala was raw inside. Health hazard!,1,2026-02-01T12:38:35.853450
REV-000034,ORD-20260130-182119,CUST-10094,REST-AUH-001,Absolutely horrible! Paneer Tikka  Rasmalai (2 pcs)  and Kulfi arrived ice cold after 2 hour delay. Kulfi was spoiled. Disgusting!,1,2026-02-04T15:32:11.853450
REV-000035,ORD-20260131-948779,CUST-10272,REST-AUH-001,Hands down the best Rasmalai (2 pcs) I've ever had! Rasmalai (2 pcs)  Malai Kofta  and Fresh Lime Soda were all prepared beautifully. Fresh and flavorful!,5,2026-02-04T16:21:28.853450
REV-000037,ORD-20260201-938704,CUST-10398,REST-DXB-001,Wow! Just wow! Samosa (2 pcs)  Garlic Naan  Fish Curry  and Chicken Seekh Kebab were all fantastic. Fish Curry was particularly memorable. Can't wait to order again!,5,2026-02-06T21:32:54.853450
REV-000036,ORD-20260201-960466,CUST-10484,REST-DXB-002,Best Indian food in UAE! Kulfi  Paneer Butter Masala  Chicken Tikka Masala  Naan  and Tandoori Roti were incredible. Naan had the perfect balance of spices. Five stars!,5,2026-02-07T12:40:27.853450
REV-000040,ORD-20260206-114970,CUST-10160,REST-DXB-001,Best Indian food in UAE! Aloo Tikki Chaat and Naan were incredible. Naan had the perfect balance of spices. Five stars!,5,2026-02-07T18:22:17.853450
REV-000039,ORD-20260205-437998,CUST-10191,REST-SHJ-001,Really good Lamb Rogan Josh  Dal Makhani  Butter Chicken  Chicken Biryani  and Paneer Tikka! The Lamb Rogan Josh was delicious. Slight delay in delivery but food quality made up for it.,4,2026-02-09T15:21:43.853450
REV-000038,ORD-20260203-882827,CUST-10268,REST-AUH-002,Solid experience. Butter Chicken  Chicken Seekh Kebab  Kulfi  and Fresh Lime Soda were well-prepared. Chicken Seekh Kebab had great flavor. Minor issues with packaging.,4,2026-02-10T21:39:44.853450
REV-000041,ORD-20260208-162303,CUST-10338,REST-AUH-001,Absolutely amazing Chicken 65  Mango Lassi  and Samosa (2 pcs)! The Chicken 65 was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-02-14T14:33:56.853450
REV-000042,ORD-20260210-472794,CUST-10489,REST-SHJ-001,Absolutely amazing Masala Chai and Gajar Halwa! The Masala Chai was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-02-15T15:39:41.853450
REV-000043,ORD-20260210-380294,CUST-10387,REST-SHJ-001,Absolutely amazing Palak Paneer  Naan  Kulfi  Fish Curry  and Chicken Tikka Masala! The Chicken Tikka Masala was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-02-16T19:12:53.853450
REV-000044,ORD-20260218-180232,CUST-10360,REST-DXB-001,Absolutely amazing Chicken Biryani  Samosa (2 pcs)  Garlic Naan  and Gajar Halwa! The Samosa (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-02-19T10:14:12.853450
REV-000046,ORD-20260220-510867,CUST-10129,REST-DXB-002,Good quality food. Butter Chicken were nicely done. Butter Chicken could have been slightly spicier but still good!,4,2026-02-21T18:28:15.853450
REV-000045,ORD-20260220-585292,CUST-10365,REST-AUH-001,Incredible meal! Fish Curry and Kulfi arrived hot and fresh. The Fish Curry was absolutely divine. Highly satisfied!,5,2026-02-25T18:07:30.853450
REV-000048,ORD-20260222-551775,CUST-10063,REST-DXB-001,Hands down the best Gulab Jamun (2 pcs) I've ever had! Rasmalai (2 pcs)  Vegetable Biryani  Mango Lassi  Tandoori Roti  and Gulab Jamun (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2026-02-26T15:45:50.853450
REV-000049,ORD-20260222-551625,CUST-10141,REST-DXB-002,It was okay. Garlic Naan  Fish Curry  and Malai Kofta arrived lukewarm. Malai Kofta tasted fine but could be better.,3,2026-02-26T20:25:24.853450
REV-000047,ORD-20260221-802914,CUST-10193,REST-SHJ-001,Perfect in every way! Paneer Tikka and Lamb Rogan Josh were all excellent. Paneer Tikka stood out with its rich  authentic taste.,5,2026-02-27T22:21:27.853450
REV-000050,ORD-20260225-306168,CUST-10045,REST-DXB-002,It was okay. Tandoori Roti and Vegetable Biryani arrived lukewarm. Vegetable Biryani tasted fine but could be better.,3,2026-02-28T11:24:49.853450
REV-000051,ORD-20260226-375480,CUST-10218,REST-AUH-002,Solid experience. Masala Chai  Chole Bhature  Fish Curry  Aloo Tikki Chaat  and Rasmalai (2 pcs) were well-prepared. Aloo Tikki Chaat had great flavor. Minor issues with packaging.,4,2026-03-05T10:27:41.853450
REV-000052,ORD-20260302-794794,CUST-10402,REST-DXB-001,Great food overall. Naan and Rasmalai (2 pcs) were tasty  especially the Rasmalai (2 pcs). Would order again!,4,2026-03-06T17:57:43.853450
REV-000053,ORD-20260307-730492,CUST-10483,REST-AUH-002,Good quality food. Masala Chai  Gajar Halwa  Chicken Biryani  and Chole Bhature were nicely done. Gajar Halwa could have been slightly spicier but still good!,4,2026-03-13T10:18:38.853450
REV-000054,ORD-20260311-590190,CUST-10434,REST-SHJ-001,Pleasant meal! Aloo Tikki Chaat  Chicken 65  Naan  and Chicken Seekh Kebab arrived warm. Naan was tasty though not exceptional. Would order again.,4,2026-03-13T13:40:20.853450
REV-000055,ORD-20260316-220336,CUST-10435,REST-AUH-002,Really good Masala Chai! The Masala Chai was delicious. Slight delay in delivery but food quality made up for it.,4,2026-03-18T13:26:45.853450
REV-000056,ORD-20260317-509067,CUST-10063,REST-SHJ-001,Expected better. Mango Lassi  Kulfi  Tandoori Roti  Rasmalai (2 pcs)  and Chicken 65 were subpar. Kulfi was too oily and greasy. Stomach upset followed.,2,2026-03-18T15:13:58.853450
REV-000057,ORD-20260318-356841,CUST-10165,REST-AUH-001,Mixed feelings. Samosa (2 pcs) and Jeera Rice were acceptable. Jeera Rice was decent but portion was small for the price.,3,2026-03-20T20:54:35.853450
REV-000058,ORD-20260321-709255,CUST-10486,REST-SHJ-001,Hands down the best Palak Paneer I've ever had! Palak Paneer and Kulfi were all prepared beautifully. Fresh and flavorful!,5,2026-03-22T11:39:53.853450
REV-000060,ORD-20260323-393449,CUST-10192,REST-AUH-002,Decent food but nothing special. Butter Naan  Chicken 65  Paneer Butter Masala  Fish Curry  and Butter Chicken were okay. Butter Chicken lacked the punch I expected.,3,2026-03-26T10:36:54.853450
REV-000059,ORD-20260321-302518,CUST-10449,REST-DXB-001,Exceptional quality! Ordered Paneer Tikka  Fish Curry  Lamb Rogan Josh  Paneer Butter Masala  and Naan and everything was delicious. The Naan melted in my mouth. Perfect!,5,2026-03-27T16:21:30.853450
REV-000066,ORD-20260327-847132,CUST-10486,REST-AUH-002,Best Indian food in UAE! Masala Chai  Dal Makhani  and Rasmalai (2 pcs) were incredible. Rasmalai (2 pcs) had the perfect balance of spices. Five stars!,5,2026-03-28T14:25:29.853450
REV-000064,ORD-20260326-602972,CUST-10440,REST-AUH-001,Absolutely amazing Butter Chicken  Chicken Tikka Masala  Mango Lassi  Paneer Butter Masala  and Fresh Lime Soda! The Chicken Tikka Masala was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-03-28T19:41:40.853450
REV-000062,ORD-20260325-549618,CUST-10022,REST-AUH-001,Hands down the best Paneer Butter Masala I've ever had! Paneer Butter Masala and Samosa (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2026-03-29T16:18:44.853450
REV-000063,ORD-20260325-631659,CUST-10033,REST-DXB-001,Best Indian food in UAE! Chole Bhature  Chicken Biryani  Fresh Lime Soda  and Masala Chai were incredible. Fresh Lime Soda had the perfect balance of spices. Five stars!,5,2026-03-29T19:17:46.853450
REV-000061,ORD-20260324-959166,CUST-10046,REST-AUH-001,Mixed feelings. Gajar Halwa  Rasmalai (2 pcs)  Naan  and Tandoori Roti were acceptable. Tandoori Roti was decent but portion was small for the price.,3,2026-03-30T13:09:57.853450
REV-000065,ORD-20260327-993118,CUST-10406,REST-DXB-002,Exceptional quality! Ordered Malai Kofta  Gulab Jamun (2 pcs)  and Fresh Lime Soda and everything was delicious. The Fresh Lime Soda melted in my mouth. Perfect!,5,2026-04-01T13:25:35.853450
REV-000068,ORD-20260402-463111,CUST-10398,REST-DXB-001,Best Indian food in UAE! Chicken 65 were incredible. Chicken 65 had the perfect balance of spices. Five stars!,5,2026-04-03T11:32:35.853450
REV-000067,ORD-20260327-807563,CUST-10498,REST-DXB-002,Incredible meal! Samosa (2 pcs) and Tandoori Roti arrived hot and fresh. The Samosa (2 pcs) was absolutely divine. Highly satisfied!,5,2026-04-03T19:39:20.853450
REV-000071,ORD-20260404-154558,CUST-10448,REST-SHJ-001,Really good Malai Kofta  Kulfi  and Vegetable Biryani! The Kulfi was delicious. Slight delay in delivery but food quality made up for it.,4,2026-04-05T16:34:08.853450
REV-000069,ORD-20260402-378537,CUST-10180,REST-DXB-002,Very satisfied! Naan  Butter Naan  Rasmalai (2 pcs)  and Dal Makhani were fresh and flavorful. Naan was the standout dish.,4,2026-04-07T13:31:56.853450
REV-000070,ORD-20260403-178155,CUST-10418,REST-DXB-002,Mixed feelings. Chicken 65  Fresh Lime Soda  Mango Lassi  Vegetable Biryani  and Gulab Jamun (2 pcs) were acceptable. Vegetable Biryani was decent but portion was small for the price.,3,2026-04-08T18:55:34.853450
REV-000072,ORD-20260406-530988,CUST-10174,REST-AUH-002,Outstanding experience! The Chicken Biryani  Aloo Tikki Chaat  and Chicken Seekh Kebab exceeded all expectations. Aloo Tikki Chaat was the star of the meal. Will definitely order again!,5,2026-04-12T17:22:57.853450
REV-000076,ORD-20260412-180217,CUST-10331,REST-AUH-002,Best Indian food in UAE! Garlic Naan  Jeera Rice  Fresh Lime Soda  Masala Chai  and Butter Chicken were incredible. Masala Chai had the perfect balance of spices. Five stars!,5,2026-04-13T18:38:52.853450
REV-000075,ORD-20260412-825080,CUST-10017,REST-AUH-001,Perfect in every way! Vegetable Biryani  Butter Chicken  Chicken Seekh Kebab  and Garlic Naan were all excellent. Chicken Seekh Kebab stood out with its rich  authentic taste.,5,2026-04-14T17:18:37.853450
REV-000077,ORD-20260412-442742,CUST-10417,REST-AUH-001,Exceptional quality! Ordered Dal Makhani  Chole Bhature  Fresh Lime Soda  Gajar Halwa  and Chicken Tikka Masala and everything was delicious. The Dal Makhani melted in my mouth. Perfect!,5,2026-04-14T19:33:03.853450
REV-000073,ORD-20260409-642320,CUST-10047,REST-AUH-002,Outstanding experience! The Gulab Jamun (2 pcs)  Chicken 65  Paneer Tikka  Jeera Rice  and Garlic Naan exceeded all expectations. Gulab Jamun (2 pcs) was the star of the meal. Will definitely order again!,5,2026-04-15T15:27:01.853450
REV-000074,ORD-20260412-458474,CUST-10232,REST-DXB-001,Not good. Tandoori Roti  Chicken 65  Butter Chicken  Rasmalai (2 pcs)  and Chicken Seekh Kebab arrived late and cold. Chicken Seekh Kebab had barely any flavor. Poor quality.,2,2026-04-19T13:23:47.853450
REV-000080,ORD-20260419-225007,CUST-10449,REST-AUH-002,Wow! Just wow! Gulab Jamun (2 pcs)  Jeera Rice  Lamb Rogan Josh  Vegetable Biryani  and Samosa (2 pcs) were all fantastic. Vegetable Biryani was particularly memorable. Can't wait to order again!,5,2026-04-23T22:55:16.853450
REV-000078,ORD-20260417-530942,CUST-10485,REST-SHJ-001,Solid experience. Paneer Tikka were well-prepared. Paneer Tikka had great flavor. Minor issues with packaging.,4,2026-04-24T15:04:12.853450
REV-000079,ORD-20260418-309897,CUST-10101,REST-DXB-002,Incredible meal! Palak Paneer and Sweet Lassi arrived hot and fresh. The Sweet Lassi was absolutely divine. Highly satisfied!,5,2026-04-24T22:25:51.853450
REV-000081,ORD-20260423-431143,CUST-10384,REST-AUH-002,Solid experience. Chicken Biryani and Gulab Jamun (2 pcs) were well-prepared. Gulab Jamun (2 pcs) had great flavor. Minor issues with packaging.,4,2026-04-24T22:29:03.853450
REV-000082,ORD-20260427-209835,CUST-10034,REST-AUH-001,Wow! Just wow! Gulab Jamun (2 pcs) and Garlic Naan were all fantastic. Garlic Naan was particularly memorable. Can't wait to order again!,5,2026-05-01T17:06:55.853450
REV-000083,ORD-20260504-346932,CUST-10108,REST-AUH-002,Mixed feelings. Chole Bhature and Chicken Seekh Kebab were acceptable. Chole Bhature was decent but portion was small for the price.,3,2026-05-06T16:49:04.853450
REV-000084,ORD-20260506-830637,CUST-10251,REST-DXB-002,Perfect in every way! Sweet Lassi  Paneer Tikka  Chicken Seekh Kebab  Tandoori Roti  and Rasmalai (2 pcs) were all excellent. Sweet Lassi stood out with its rich  authentic taste.,5,2026-05-11T11:19:56.853450
REV-000085,ORD-20260507-324851,CUST-10094,REST-AUH-002,Wow! Just wow! Rasmalai (2 pcs) and Tandoori Roti were all fantastic. Tandoori Roti was particularly memorable. Can't wait to order again!,5,2026-05-13T17:15:43.853450
